"Algorithm","Boarding_Method","Total_Time_Seconds","Total_Time_Minutes","Time_Format","Is_Best"
"hillclimbing","steffen",1167,19.45,"19:27","Yes"
"Fixed Strategy","steffen",1169,19.48,"19:29","Yes"
"tabu","steffen",1181,19.68,"19:41","No"
"simulated_annealing","steffen",1182,19.7,"19:42","No"
"genetic","front_to_back",2515,41.92,"41:55","No"
"genetic","random",2536,42.27,"42:16","No"
"genetic","back_to_front",2545,42.42,"42:25","No"
"differential_evolution","random",2589,43.15,"43:09","No"
"genetic","window_middle_aisle",2624,43.73,"43:44","No"
"differential_evolution","back_to_front",2647,44.12,"44:07","No"
"pso","random",2651,44.18,"44:11","No"
"differential_evolution","front_to_back",2686,44.77,"44:46","No"
"montecarlo","steffen",2689,44.82,"44:49","No"
"genetic","steffen",2696,44.93,"44:56","No"
"pso","back_to_front",2701,45.02,"45:01","No"
"pso","front_to_back",2716,45.27,"45:16","No"
"montecarlo","back_to_front",2719,45.32,"45:19","No"
"differential_evolution","steffen",2724,45.4,"45:24","No"
"montecarlo","random",2739,45.65,"45:39","No"
"pso","window_middle_aisle",2763,46.05,"46:03","No"
"differential_evolution","window_middle_aisle",2779,46.32,"46:19","No"
"montecarlo","front_to_back",2782,46.37,"46:22","No"
"pso","steffen",2796,46.6,"46:36","No"
"montecarlo","window_middle_aisle",2800,46.67,"46:40","No"
"blind","back_to_front",2883,48.05,"48:03","No"
"blind","random",2890,48.17,"48:10","No"
"blind","steffen",2905,48.42,"48:25","No"
"blind","front_to_back",2908,48.47,"48:28","No"
"tabu","random",2949,49.15,"49:09","No"
"blind","window_middle_aisle",2975,49.58,"49:35","No"
"hillclimbing","random",3030,50.5,"50:30","No"
"simulated_annealing","random",3178,52.97,"52:58","No"
"Fixed Strategy","random",3185,53.08,"53:05","No"
"tabu","back_to_front",4180,69.67,"69:40","No"
"simulated_annealing","back_to_front",4196,69.93,"69:56","No"
"hillclimbing","back_to_front",4237,70.62,"70:37","No"
"Fixed Strategy","back_to_front",4346,72.43,"72:26","No"
"Fixed Strategy","block_boarding",5183,86.38,"86:23","No"
"Fixed Strategy","outside_in",6130,102.17,"102:10","No"
"hillclimbing","window_middle_aisle",6152,102.53,"102:32","No"
"tabu","window_middle_aisle",6486,108.1,"108:06","No"
"Fixed Strategy","reverse_pyramid",6574,109.57,"109:34","No"
"Fixed Strategy","alternating_rows",6782,113.03,"113:02","No"
"simulated_annealing","window_middle_aisle",7208,120.13,"120:08","No"
"Fixed Strategy","window_middle_aisle",7969,132.82,"132:49","No"
"hillclimbing","front_to_back",10064,167.73,"167:44","No"
"tabu","front_to_back",10146,169.1,"169:06","No"
"simulated_annealing","front_to_back",10412,173.53,"173:32","No"
"Fixed Strategy","front_to_back",11909,198.48,"198:29","No"
